Item_Name	Manufacturer_ID	Category_ID	ASIN
"""Contigo Autoseal Gizmo Sip Kids Water Bottle, 14-Ounce, Sapphire"""	10	8	B00T7MLDCQ
"""Contigo Kids Autoseal Gizmo Water Bottles, 14oz, green"""	10	4	B072YBXQT5
"""Contigo Kids Autoseal Gizmo Water Bottles, 14oz, red"""	10	8	B072YJSGBT
"""Contigo Kids Autoseal Gizmo Water Bottles, 14oz, grey"""	10	15	B00T7MLMFE
"""Contigo Auto Seal Gizmo Sip Kids Water Bottle, 14-Ounce, Ultramarine"""	10	2	B00T7MLD1C
Polar Bottle Insulated Water Bottle - 24oz	10	13	B00I2VDMYA
CamelBak Podium Big Chill Insulated Water Bottle	10	14	B015DJF1G0
CamelBak Podium Chill 21 oz Insulated Water Bottle	10	5	B00EPGM6BG
CamelBak Forge 12oz Vacuum-Insulated Travel Mug	10	5	B00EPGMXXM
CamelBak Forge 16oz Vacuum-Insulated Travel Mug	10	8	B00EPGMZZS
Camelbak Eddy Glass .7-Liter Water Bottle	10	10	B00ACHOX4U
