Pet_Supplies_Name	ASIN	Pet_Type_ID	Category_ID	Supplier_ID	Model_Number
Blue Life Protection Formula Adult Small Breed Lamb and Brown Rice Dry	B008EXEMX6	1	1	1	368
Evercare Pet Mega Roller 50-Layer Refill, Pack of 3	B008F5Q9MU	1	10	1	70982017341
Petmate Arm & Hammer Swivel Bin & Rake	B008FNKQSU	1	10	1	71034
Virbac Epi-Otic Advanced Ear Cleaner, 8 oz	B008MOCBAS	1	4	1	661192
Greenies FELINE Dental Treats For Cats Savory Salmon Flavor 5.5 oz. With Natural Ingredients Plus Vitamins, Minerals	B008PNN8GC	2	4	24	10154635
Exo Terra Gecko Cave for Reptiles, Medium	B008YDHDD2	6	6	1	PT2865
Coolaroo The Original Elevated Pet Bed By Large Nutmeg	B0091E7Q2G	1	8	1	458959
Wahl Professional Animal Equine Grooming Rubber Curry Brush 	B0098F06CU	5	3	21	858712
Exo Terra Water Dish for Reptiles, X-Small	B009XP6KVQ	6	6	1	PT2809
Dasuquin 3PACK Soft Chews for Large Dogs with MSM (252 Chews)	B00APORNOW	1	4	1	GK99
Manna Pro Mixed Grains Scratch, 10 lb	B00AQ4BULI	4	1	21	49600210
The Company of Animals Pet Head Puppy Fun!! Tearless Shampoo 16.1oz	B00AVJOEW0	1	3	21	TPHF1
Penn Plax Deluxe Triple Betta Bow Aquarium Tank, 0.7-Gallon	B00B71K00G	3	14	1	BBT4
Bayer Seresto Flea and Tick Collar for Small Dog, up to 18 lb, 8 Month Protection	B00B8CG58U	1	2	1	81857944
ZUPREEM 230361 Veggieblend Caged Medium and Large Bird Food, 3.25-Pound	B00BC4A75G	4	1	21	230361
Comfort Zone Feliway Diffuser Refills, 6 Pack, Helps in controlling Scratching and Urine Marking	B00BFAOW6W	2	3	1	100514016
Indusclassic Himalayan Animal Licking Pink Salt lick Horse Cattles Pure with Minerals (6 LB)	B00BVC7ZT0	5	13	1	SS203
Catit Design Senses Fountain with Water Softening Cartridge, 3L	B00CO527IC	2	6	1	50761A1
Dechra Phycox Max HA 90 Count Canine Soft Chews	B00CPKIQ6I	5	2	1	PHA90HA
Wellness Petite Treats Small Breed Soft Natural Grain Free Dog Treats, Lamb & Apples, 6-Ounce Bag	B00CQIOKIM	1	4	1	634165
Halo Grain Free Senior Wet Cat Food, Chicken & Chickpea Recipe Pate, 5.5-Ounce Can (Pack of 12)	B00CWD7G6Y	2	4	1	AIDISB6494
Wellness Signature Selects Natural Canned Grain Free Wet Cat Food, Flaked Tuna & Wild Salmon, 5.3-Ounce Can (Pack of 24)	B00D0RFFF0	2	1	1	5054
Catit Senses 2.0 Food Tree	B00D3NI31Y	2	6	1	43151
Lyric Supreme Wild Bird Mix - 40 lb bag	B00D8O2BGQ	4	1	1	2647461
